Disease,Serotype,Reason,Country,Code,Unit type,Latitude,Longitude,Admin1,OBStartDate,OBEndDate,Species,Susceptible,Cases,Deaths,Destroyed,Slaughtered
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.73,5.98,Li_ge,18/08/06,13/12/06,Sheep,11,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.72,5.98,Li_ge,19/08/06,13/12/06,Sheep,18,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.37,6.05,Li_ge,29/08/06,13/12/06,Cattle,129,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.42,5.4,Luxembourg,29/08/06,13/12/06,Cattle,178,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.45,5.93,Li_ge,29/08/06,13/12/06,Cattle,85,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.67,5.92,Li_ge,30/08/06,13/12/06,Cattle,51,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.7,5.62,Li_ge,28/08/06,13/12/06,Cattle,91,3,2,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.55,5.95,Li_ge,25/08/06,13/12/06,Cattle,75,12,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.7,5.52,Li_ge,25/08/06,13/12/06,Cattle,349,2,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.67,6,Li_ge,28/08/06,13/12/06,Cattle,103,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.52,5.7,Li_ge,29/08/06,13/12/06,Cattle,80,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.72,5.98,Li_ge,24/08/06,13/12/06,Cattle,59,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.67,5.73,Li_ge,28/08/06,13/12/06,Cattle,134,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.72,5.87,Limburg,26/08/06,13/12/06,Cattle,4,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.23,5.5,Luxembourg,24/08/06,13/12/06,Cattle,91,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.52,5.93,Li_ge,28/08/06,13/12/06,Cattle,56,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.52,5.93,Li_ge,28/08/06,13/12/06,Cattle,36,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.5,5.65,Li_ge,29/08/06,13/12/06,Cattle,95,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.57,5.68,Li_ge,29/08/06,13/12/06,Cattle,95,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.75,5.75,Limburg,26/08/06,13/12/06,Cattle,63,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.63,5.82,Li_ge,23/08/06,13/12/06,Sheep,60,2,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.62,6.03,Li_ge,30/08/06,13/12/06,Sheep,10,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.68,6.08,Li_ge,30/08/06,13/12/06,Sheep,23,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.88,5.12,Vlaams Brabant,25/08/06,13/12/06,Sheep,3,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.67,6.03,Li_ge,26/08/06,13/12/06,Sheep,21,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.42,5.4,Luxembourg,07/09/06,13/12/06,Cattle,219,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,49.97,4.52,Namur,02/09/06,13/12/06,Cattle,194,0,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.37,5.72,Li_ge,07/09/06,13/12/06,Cattle,145,3,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,51.03,5.27,Limburg,05/09/06,13/12/06,Cattle,23,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.88,5.12,Vlaams Brabant,13/09/06,13/12/06,Cattle,176,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.4,5.07,Namur,05/09/06,13/12/06,Cattle,151,0,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.53,5.68,Li_ge,10/09/06,13/12/06,Cattle,89,0,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.93,5.17,Limburg,27/08/06,13/12/06,Cattle,1,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.55,5.95,Li_ge,24/08/06,13/12/06,Cattle,23,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.48,5.78,Li_ge,07/09/06,13/12/06,Cattle,24,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.67,5.73,Li_ge,06/09/06,13/12/06,Cattle,40,3,3,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.83,5.52,Limburg,05/09/06,13/12/06,Cattle,71,2,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.85,5.48,Limburg,01/09/06,13/12/06,Cattle,9,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.75,5.93,Li_ge,18/08/06,13/12/06,Cattle,281,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.75,5.93,Li_ge,10/09/06,13/12/06,Cattle,78,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.93,4.9,Vlaams Brabant,29/08/06,13/12/06,Cattle,40,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.57,5.68,Li_ge,31/08/06,13/12/06,Cattle,60,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.85,5.1,Vlaams Brabant,26/08/06,13/12/06,Sheep,2,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.62,5.68,Li_ge,06/09/06,13/12/06,Sheep,12,2,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.7,6.02,Li_ge,27/08/06,13/12/06,Sheep,21,1,1,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.98,5.13,Limburg,30/08/06,13/12/06,Sheep,35,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.8,5.18,Limburg,13/09/06,13/12/06,Sheep,1,1,0,0,0
Bluetongue,8,First occurrence,"Belgium, Kingdom of",BEL,Farm,50.58,5.88,Li_ge,04/09/06,13/12/06,Sheep,13,1,0,0,0
